                              1

1500538080: 5.2305000000e+00
1500538140: 5.6896666667e+00
1500538200: 6.1311666667e+00
1500538260: 6.6285000000e+00
1500538320: 6.9700000000e+00
1500538380: 7.2171666667e+00
1500538440: 7.6863333333e+00
1500538500: 8.0476666667e+00
1500538560: 8.1026666667e+00
1500538620: 8.0080000000e+00
1500538680: 8.1408333333e+00
1500538740: 8.4660000000e+00
1500538800: 8.6483333333e+00
1500538860: 9.0421666667e+00
1500538920: 9.2646666667e+00
1500538980: 9.4813333333e+00
1500539040: 9.6041666667e+00
1500539100: 9.6336666667e+00
1500539160: 9.5238333333e+00
1500539220: 9.4290000000e+00
1500539280: 9.2801666667e+00
1500539340: 9.0560000000e+00
1500539400: 8.9731666667e+00
1500539460: 9.1203333333e+00
1500539520: 9.4033333333e+00
1500539580: 9.3528333333e+00
1500539640: 9.5123333333e+00
1500539700: 9.7976666667e+00
1500539760: 9.7365000000e+00
1500539820: 9.5743333333e+00
1500539880: 9.6256666667e+00
1500539940: 9.8340000000e+00
1500540000: 9.9578333333e+00
1500540060: 9.9663333333e+00
1500540120: 9.9600000000e+00
1500540180: 1.0028333333e+01
1500540240: 1.0251333333e+01
1500540300: 1.0271666667e+01
1500540360: 1.0171666667e+01
1500540420: 1.0310833333e+01
1500540480: 1.0260166667e+01
1500540540: 1.0432333333e+01
1500540600: 1.0533333333e+01
1500540660: 1.0420666667e+01
1500540720: 1.0568166667e+01
1500540780: 1.0619000000e+01
1500540840: 1.0518000000e+01
1500540900: 1.0534666667e+01
1500540960: 1.0519000000e+01
1500541020: 1.0424833333e+01
1500541080: 1.0560833333e+01
1500541140: 1.0797166667e+01
1500541200: 1.0747000000e+01
1500541260: 1.0810000000e+01
1500541320: 1.0849500000e+01
1500541380: 1.0792166667e+01
1500541440: 1.0558166667e+01
1500541500: 1.0282333333e+01
1500541560: 1.0036000000e+01
1500541620: 9.8711666667e+00
1500541680: 9.9461666667e+00
1500541740: 1.0259666667e+01
1500541800: 1.0523500000e+01
1500541860: 1.0391833333e+01
1500541920: 1.0375166667e+01
1500541980: 1.0615000000e+01
1500542040: 1.0751000000e+01
1500542100: 1.0749500000e+01
1500542160: 1.0951833333e+01
1500542220: 1.0940666667e+01
1500542280: 1.0657666667e+01
1500542340: 1.0406500000e+01
1500542400: 1.0271666667e+01
1500542460: 1.0082833333e+01
1500542520: 1.0051000000e+01
1500542580: 9.9880000000e+00
1500542640: 9.7996666667e+00
1500542700: 9.6890000000e+00
1500542760: 9.6700000000e+00
1500542820: 9.5538333333e+00
1500542880: 9.5820000000e+00
1500542940: 9.6268333333e+00
1500543000: 9.7051666667e+00
1500543060: 9.9381666667e+00
1500543120: -nan
1500543180: -nan
1500543240: -nan
1500543300: -nan
1500543360: -nan
1500543420: -nan
1500543480: -nan
1500543540: -nan
1500543600: -nan
1500543660: -nan
1500543720: -nan
1500543780: -nan
1500543840: -nan
1500543900: -nan
1500543960: -nan
1500544020: -nan
1500544080: -nan
1500544140: -nan
1500544200: -nan
1500544260: -nan
1500544320: -nan
1500544380: -nan
1500544440: -nan
1500544500: -nan
1500544560: -nan
1500544620: -nan
1500544680: -nan
1500544740: -nan
1500544800: -nan
1500544860: -nan
1500544920: -nan
1500544980: -nan
1500545040: -nan
1500545100: -nan
1500545160: -nan
1500545220: -nan
1500545280: -nan
